ID,Category,Area/Room,System/Description,Qty,Unit,Source (sheet/scale/schedule),Notes/Assumptions
PC-01,Polished Concrete,,Class __ / Level __ polish,,SF,,
PC-02,Polished Concrete,,Edge/hand grinding band,,LF,,
PC-03,Polished Concrete,,Dye/stain (color: __),,SF,,
PC-04,Polished Concrete,,Stain guard topcoat,,SF,,
RF-01,Resinous Flooring,,System: __ @ __ mils,,SF,,
RF-02,Resinous Flooring,,Integral cove base __" high,,LF,,
RF-03,Resinous Flooring,,Cove corners (in/out),,EA,,
RF-04,Resinous Flooring,,Termination/keyway joints,,LF,,
RF-05,Resinous Flooring,,Demarcation/striping,,LF,,
SP-01,Surface Prep,,Shot blast / grind to CSP __,,SF,,
SP-02,Surface Prep,,Existing coating/mastic removal,,SF,,
SP-03,Surface Prep,,Crack rout & fill,,LF,,
SP-04,Surface Prep,,Spall/patch repair allowance,,SF,,
JT-01,Joints,,Semi-rigid joint fill,,LF,,
JT-02,Joints,,Flexible sealant joints (if ours),,LF,,
MM-01,Moisture,,ASTM F2170 RH tests,,EA,,
MM-02,Moisture,,Moisture vapor barrier (incl/excl/unit price),,SF,,
DT-01,Details,,Floor drains / cleanouts,,EA,,
DT-02,Details,,Columns / penetrations,,EA,,
DT-03,Details,,Slope-to-drain mortar zones,,SF,,
GN-01,General,,Mock-up(s) __ size,,EA,,
GN-02,General,,Mobilizations / phases,,EA,,
GN-03,General,,Finished floor protection,,SF,,
GN-04,General,,Adjacent finish protection/masking,,LS,,
GN-05,General,,Slurry disposal / dust control,,LS,,
MT-01,Material Check,,Primer,,GAL,,theoretical + waste %
MT-02,Material Check,,Body coat(s),,GAL,,
MT-03,Material Check,,Topcoat(s),,GAL,,
MT-04,Material Check,,Broadcast aggregate,,LB,,
MT-05,Material Check,,Densifier,,GAL,,
MT-06,Material Check,,Joint filler,,GAL,,
